Designator,Footprint,Quantity,Value,LCSC Part #
"C101, C204, C303",0603,3,10uF,
"C102, C105, C110, C112, C113",0603,5,1uF,
"C103, C104, C106, C107, C109, C114, C201",0402,7,0.1uF/10V,
"C108, C203",0402,2,10nF,
"C115, C118",0603,2,12pF/10V,
C202,0805,1,2.2uF/10V,
C304,0603,1,4.7uF,
C305,0402,1,10pF,
"C306, C307",0603,2,22uF,
D201,0603,1,LED,
D301,D_SOD-323,1,1N5819WS,
L101,0402,1,2.2nH,
L301,IND-SMD_L2.5-W2.0_WPN252012H,1,2.2uH,
Q301,SOT-723_L1.2-W0.8-P0.40-LS1.2-BR,1,CJ3139K,C70022
"R101, R102",0402,2,5.1kΩ,
"R103, R304",0402,2,10kΩ,
R104,0402,1,22Ω,
"R105, R106",0402,2,0Ω,
"R201, R202, R203, R206",0402,4,1kΩ,
"R204, R205",0603,2,0Ω,
R305,0603,1,330kΩ,
R306,0603,1,82kΩ,
TP101,Pin_D1.0mm_L10.0mm,1,TP_5V0,
TP102,Pin_D1.0mm_L10.0mm,1,TP_XTAL_P,
TP103,Pin_D1.0mm_L10.0mm,1,TP_BOOT,
TP104,Pin_D1.0mm_L10.0mm,1,TP_RESET,
TP201,Pin_D1.0mm_L10.0mm,1,TP_MOTOR_CTRL_2,
TP202,Pin_D1.0mm_L10.0mm,1,TP_MOTOR_CTRL_1,
TP203,Pin_D1.0mm_L10.0mm,1,TP_MOTOR_CTRL_4,
TP204,Pin_D1.0mm_L10.0mm,1,TP_MOTOR_CTRL_3,
TP205,Pin_D1.0mm_L10.0mm,1,TP_MOTOR_1_1,
TP206,Pin_D1.0mm_L10.0mm,1,TP_MOTOR_1_2,
TP207,Pin_D1.0mm_L10.0mm,1,TP_MOTOR_2_1,
TP208,Pin_D1.0mm_L10.0mm,1,TP_MOTOR_2_2,
TP209,Pin_D1.0mm_L10.0mm,1,TP_SDO_IMU,
TP210,Pin_D1.0mm_L10.0mm,1,TP_SDI_IMU,
TP211,Pin_D1.0mm_L10.0mm,1,TP_CS,
TP212,Pin_D1.0mm_L10.0mm,1,TP_SCLK,
TP213,Pin_D1.0mm_L10.0mm,1,TP_INT1,
TP214,Pin_D1.0mm_L10.0mm,1,TP_INT2,
TP301,Pin_D1.0mm_L10.0mm,1,TP_3V3,
TP302,Pin_D1.0mm_L10.0mm,1,TP_VBUS,
TP303,Pin_D1.0mm_L10.0mm,1,TP_VBATT,
TP304,Pin_D1.0mm_L10.0mm,1,TP_BATT_STAT,
TP305,Pin_D1.0mm_L10.0mm,1,TP_BATT_PROG,
TP306,Pin_D1.0mm_L10.0mm,1,TP_FB_3V3,
TP307,Pin_D1.0mm_L10.0mm,1,TP_BUCK_GND,
U101,USB-C_SMD-TYPE-C-31-M-12,1,USB-TYPE-C-018,C2927038
U102,ANT-SMD_L3.2-W1.6,1,2450AT18A100E,C89334
U103,QFN-56-1EP_7x7mm_P0.4mm_EP4x4mm,1,ESP32-S3,
"U104, U105",SW-SMD_4P-L5.1-W5.1-P3.70-LS6.5-TL-2,2,TS-1187A-B-A-B,C318884
U201,DFN-10_L3.0-W3.0-P0.50-BL-EP,1,A3901SEJTR-T,C146403
U202,LGA-14_L3.0-W2.5-P0.50-TL_QMI8658A,1,ICM-42670-P,C3288646
U203,LED-ARRAY-SMD_4P-L1.6-W1.5-TL_NH-B1515RGBA,1,NH-B1515RGBA-HF,C2874115
U204,poka-yoke_rxtx,1,~,
U205,CONN-TH_BM02B-SRSS-TB-LF-SN,1,Motor_1,C160388
U206,CONN-TH_BM02B-SRSS-TB-LF-SN,1,Motor_2,C160388
U301,SOT-563,1,TLV62569DRL,
U302,SOT-23-5_L3.0-W1.7-P0.95-LS2.8-BR,1,TP4065,C113540
U303,CONN-TH_BM02B-SRSS-TB-LF-SN,1,BATT,C160388
X101,CRYSTAL-SMD_4P-L2.0-W1.6-BL-A,1,TZ1269D,C501798
