Designator,Mid X,Mid Y,Rotation,Layer
C101,99.706622,-121.172415,45.0,top
C102,100.706622,-122.272415,45.0,top
C103,96.25,-133.4,315.0,top
C104,98.649569,-120.529468,45.0,top
C105,86.2,-127.1,225.0,top
C106,98.756676,-124.436575,45.0,top
C107,87.06267,-127.934385,225.0,top
C108,99.85,-128.6,315.0,top
C109,90.0,-122.85,135.0,top
C110,101.7,-128.6,315.0,top
C112,86.550191,-110.425025,270.0,top
C113,99.35,-117.45,0.0,top
C114,75.2,-129.5,270.0,top
C115,101.45,-130.7,315.0,top
C118,97.95,-133.4,315.0,top
C201,75.25,-119.5,270.0,top
C202,76.8,-120.25,270.0,top
C203,76.1,-115.6,180.0,top
C204,81.95,-136.45,180.0,top
C303,74.45,-136.3,90.0,top
C304,79.0,-131.6,90.0,top
C305,81.1,-130.025,0.0,top
C306,84.8,-131.075,90.0,top
C307,83.3,-131.1,90.0,top
D201,70.95,-119.65,0.0,top
D301,77.0,-139.05,270.0,top
L101,98.049569,-123.729468,45.0,top
L301,82.1,-134.125,180.0,top
Q301,74.692545,-139.55,0.0,top
R101,75.4,-128.1,180.0,top
R102,75.1,-123.8,90.0,top
R103,84.8,-112.8,45.0,top
R104,98.989376,-129.489376,315.0,top
R105,105.45,-125.0,180.0,top
R106,102.15,-125.0,180.0,top
R201,95.6,-121.1,135.0,top
R202,94.397446,-120.32232,225.0,top
R203,94.7,-118.45,225.0,top
R204,83.25,-118.95,315.0,top
R205,84.55,-117.65,135.0,top
R206,70.9,-118.35,0.0,top
R304,70.5,-135.8,180.0,top
R305,81.2,-128.800001,0.0,top
R306,81.2,-127.325,180.0,top
TP101,70.5,-132.7,90.0,top
TP102,102.05,-133.8,0.0,top
TP103,95.2,-115.55,270.0,top
TP104,84.2,-109.4,0.0,top
TP201,100.2,-139.3,90.0,top
TP202,100.2,-136.25,90.0,top
TP203,100.2,-145.4,90.0,top
TP204,100.2,-142.350001,90.0,top
TP205,93.4,-139.25,270.0,top
TP206,90.35,-139.25,270.0,top
TP207,87.35,-139.25,270.0,top
TP208,84.3,-139.25,270.0,top
TP209,75.45,-111.25,90.0,top
TP210,72.399999,-111.25,90.0,top
TP211,81.55,-111.3,90.0,top
TP212,78.5,-111.25,90.0,top
TP213,70.3,-113.45,315.0,top
TP214,81.85,-121.25,315.0,top
TP301,87.35,-130.6,0.0,top
TP302,77.9,-134.65,0.0,top
TP303,71.1,-141.9,270.0,top
TP304,68.15,-141.25,270.0,top
TP305,68.25,-138.05,0.0,top
TP306,78.15,-128.5,0.0,top
TP307,75.15,-132.25,0.0,top
U101,70.1,-126.2,270.0,top
U102,108.678105,-125.0,0.0,top
U103,93.7,-127.0,315.0,top
U104,91.600191,-110.325025,180.0,top
U105,99.400191,-112.250025,270.0,top
U201,89.128234,-135.822379,60.0,top
U202,78.700064,-116.149936,270.0,top
U203,96.1,-119.55,315.0,top
U204,83.894901,-118.302137,315.0,top
U205,91.5,-143.9,0.0,top
U206,85.9,-143.9,0.0,top
U301,81.1,-131.6,0.0,top
U302,71.66402,-138.3,90.0,top
U303,75.999975,-143.099936,0.0,top
X101,99.65,-132.0,225.0,top
